Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,GapToPrev,Is_Following,CleanMax,Slipstream_Delta,Dirty_Air_Tax
0 days 02:33:31.367000,RUS,63,0 days 00:01:20.972000,70.0,3.0,,,0 days 00:00:29.175000,0 days 00:00:28.806000,0 days 00:00:22.991000,0 days 02:32:39.570000,0 days 02:33:08.376000,0 days 02:33:31.367000,281.0,249.0,252.0,292.0,False,HARD,27.0,True,Mercedes,0 days 02:32:10.395000,,1,3.0,False,,False,True,21.218,0,344.0,0.0,1.5629999999999882
0 days 00:59:15.614000,LEC,16,0 days 00:01:27.394000,1.0,1.0,,,,0 days 00:00:29.783000,0 days 00:00:23.702000,,0 days 00:58:52.046000,0 days 00:59:15.690000,271.0,234.0,242.0,242.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:57:47.946000,,1,1.0,False,,False,False,,0,352.0,0.0,6.954000000000008
0 days 01:00:38.443000,LEC,16,0 days 00:01:22.829000,2.0,1.0,,,0 days 00:00:30.160000,0 days 00:00:29.384000,0 days 00:00:23.285000,0 days 00:59:45.786000,0 days 01:00:15.170000,0 days 01:00:38.455000,272.0,237.0,244.0,281.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:59:15.614000,,1,1.0,False,,False,True,,0,352.0,0.0,2.388999999999996
0 days 01:02:00.938000,LEC,16,0 days 00:01:22.495000,3.0,1.0,,,0 days 00:00:29.770000,0 days 00:00:29.427000,0 days 00:00:23.298000,0 days 01:01:08.225000,0 days 01:01:37.652000,0 days 01:02:00.950000,275.0,243.0,245.0,282.0,True,MEDIUM,3.0,True,Ferrari,0 days 01:00:38.443000,,1,1.0,False,,False,True,,0,352.0,0.0,2.055000000000007
0 days 01:03:23.216000,LEC,16,0 days 00:01:22.278000,4.0,1.0,,,0 days 00:00:29.755000,0 days 00:00:29.340000,0 days 00:00:23.183000,0 days 01:02:30.705000,0 days 01:03:00.045000,0 days 01:03:23.228000,273.0,240.0,245.0,283.0,True,MEDIUM,4.0,True,Ferrari,0 days 01:02:00.938000,,1,1.0,False,,False,True,,0,352.0,0.0,1.838000000000008
0 days 01:04:45.534000,LEC,16,0 days 00:01:22.318000,5.0,1.0,,,0 days 00:00:29.618000,0 days 00:00:29.300000,0 days 00:00:23.400000,0 days 01:03:52.846000,0 days 01:04:22.146000,0 days 01:04:45.546000,275.0,241.0,243.0,284.0,False,MEDIUM,5.0,True,Ferrari,0 days 01:03:23.216000,,1,1.0,False,,False,True,,0,352.0,0.0,1.8780000000000001
0 days 01:06:07.891000,LEC,16,0 days 00:01:22.357000,6.0,1.0,,,0 days 00:00:29.666000,0 days 00:00:29.403000,0 days 00:00:23.288000,0 days 01:05:15.212000,0 days 01:05:44.615000,0 days 01:06:07.903000,276.0,240.0,245.0,285.0,False,MEDIUM,6.0,True,Ferrari,0 days 01:04:45.534000,,1,1.0,False,,False,True,,0,352.0,0.0,1.9170000000000016
0 days 01:07:29.937000,LEC,16,0 days 00:01:22.046000,7.0,1.0,,,0 days 00:00:29.640000,0 days 00:00:29.277000,0 days 00:00:23.129000,0 days 01:06:37.543000,0 days 01:07:06.820000,0 days 01:07:29.949000,,242.0,245.0,286.0,True,MEDIUM,7.0,True,Ferrari,0 days 01:06:07.891000,,1,1.0,False,,False,True,,0,352.0,0.0,1.6060000000000088
0 days 01:08:51.677000,LEC,16,0 days 00:01:21.740000,8.0,1.0,,,0 days 00:00:29.561000,0 days 00:00:29.076000,0 days 00:00:23.103000,0 days 01:07:59.510000,0 days 01:08:28.586000,0 days 01:08:51.689000,277.0,242.0,245.0,285.0,True,MEDIUM,8.0,True,Ferrari,0 days 01:07:29.937000,,1,1.0,False,,False,True,,0,352.0,0.0,1.2999999999999972
0 days 01:10:13.499000,LEC,16,0 days 00:01:21.822000,9.0,1.0,,,0 days 00:00:29.647000,0 days 00:00:29.130000,0 days 00:00:23.045000,0 days 01:09:21.336000,0 days 01:09:50.466000,0 days 01:10:13.511000,269.0,244.0,246.0,281.0,False,MEDIUM,9.0,True,Ferrari,0 days 01:08:51.677000,,1,1.0,False,,False,True,,0,352.0,0.0,1.382000000000005
0 days 01:11:35.443000,LEC,16,0 days 00:01:21.944000,10.0,1.0,,,0 days 00:00:29.741000,0 days 00:00:29.201000,0 days 00:00:23.002000,0 days 01:10:43.252000,0 days 01:11:12.453000,0 days 01:11:35.455000,,244.0,245.0,280.0,False,MEDIUM,10.0,True,Ferrari,0 days 01:10:13.499000,,1,1.0,False,,False,True,,0,352.0,0.0,1.5040000000000049
0 days 01:12:57.285000,LEC,16,0 days 00:01:21.842000,11.0,1.0,,,0 days 00:00:29.639000,0 days 00:00:29.156000,0 days 00:00:23.047000,0 days 01:12:05.094000,0 days 01:12:34.250000,0 days 01:12:57.297000,270.0,243.0,246.0,,False,MEDIUM,11.0,True,Ferrari,0 days 01:11:35.443000,,1,1.0,False,,False,True,,0,352.0,0.0,1.402000000000001
0 days 01:14:19.310000,LEC,16,0 days 00:01:22.025000,12.0,1.0,,,0 days 00:00:29.720000,0 days 00:00:29.224000,0 days 00:00:23.081000,0 days 01:13:27.017000,0 days 01:13:56.241000,0 days 01:14:19.322000,269.0,244.0,246.0,281.0,False,MEDIUM,12.0,True,Ferrari,0 days 01:12:57.285000,,1,1.0,False,,False,True,,0,352.0,0.0,1.585000000000008
0 days 01:15:41.210000,LEC,16,0 days 00:01:21.900000,13.0,1.0,,,0 days 00:00:29.603000,0 days 00:00:29.222000,0 days 00:00:23.075000,0 days 01:14:48.925000,0 days 01:15:18.147000,0 days 01:15:41.222000,,243.0,246.0,,False,MEDIUM,13.0,True,Ferrari,0 days 01:14:19.310000,,1,1.0,False,,False,True,,0,352.0,0.0,1.460000000000008
